Company,City,State,Industry,
Quintiles Transnational Holdings, Durham, NC, Healthcare, Pharmaceuticals
Regeneron Pharmaceuticals , Tarrytown, NY, Healthcare, Pharmaceuticals
Select Medical , Mechanicsburg, PA, Healthcare, Pharmaceuticals
St. Jude Medical , Saint Paul, MN, Healthcare, Pharmaceuticals
Stericycle , Lake Forest, IL, Healthcare, Pharmaceuticals
Stryker , Portage, MI, Healthcare, Pharmaceuticals
TeamHealth , Knoxville, TN, Healthcare, Pharmaceuticals
Tenet Healthcare , Dallas, TX, Healthcare, Pharmaceuticals
Thermo Fisher Scientific, Waltham, MA, Healthcare, Pharmaceuticals
Universal Health Services , King Of Prussia, PA, Healthcare, Pharmaceuticals
Vanguard Health Systems , Nashville, TN, Healthcare, Pharmaceuticals
Varian Medical Systems , Palo Alto, CA, Healthcare, Pharmaceuticals
WellCare Health Plans , Tampa, FL, Healthcare, Pharmaceuticals
Zimmer Biomet , Warsaw, IN, Healthcare, Pharmaceuticals
Hyatt Hotels, Chicago, IL, Hotel,
Loews , New York, NY, Hotel,
Marriott International , Bethesda, MD, Hotel,
MGM Resorts , Las Vegas, NV, Hotel,
Caesars Entertainment , Las Vegas, NV, Hotel,
Hilton Worldwide, Mc Lean, VA, Hotel,
Host Hotels & Resorts, Bethesda, MD, Hotel,
Starwood Hotels, Stamford, CT, Hotel,
Wyndham Worldwide , Parsippany, NJ, Hotel,
Wynn Resorts , Las Vegas, NV, Hotel,
ADP, Roseland, NJ, HR and Recruiting ,
Kelly Services , Troy, MI, HR and Recruiting ,
ManpowerGroup , Milwaukee, WI, HR and Recruiting ,
Robert Half International , Menlo Park, CA, HR and Recruiting ,
Volt Information Sciences , New York, NY, HR and Recruiting ,
Aetna, Hartford, CT, Insurance ,
AFLAC, Columbus, GA, Insurance ,
Alleghany , New York, NY, Insurance ,
Allstate Insurance , Northbrook, IL, Insurance ,
American Family Insurance, Madison, WI, Insurance ,
American Financial Group, Cincinnati, OH, Insurance ,
American International Group (AIG), New York, NY, Insurance ,
American National Insurance, Galveston, TX, Insurance ,
Amica Mutual Insurance , Lincoln, RI, Insurance ,
AmTrust Financial Services , New York, NY, Insurance ,
Arthur J. Gallagher & Co., Itasca, IL, Insurance ,
Auto-Owners Insurance , Lansing, MI, Insurance ,
Berkshire Hathaway , Omaha, NE, Insurance ,
Centene , Saint Louis, MO, Insurance ,
Chubb , Warren, NJ, Insurance ,
CIGNA , Hartford, CT, Insurance ,
Cincinnati Financial , Fairfield, OH, Insurance ,
CME Group , Chicago, IL, Insurance ,
CNO Financial Group , Carmel, IN, Insurance ,
Country Financial, Bloomington, IL, Insurance ,
CUNA Mutual Group, Madison, WI, Insurance ,
Erie Indemnity , Erie, PA, Insurance ,
Fidelity National Financial , Jacksonville, FL, Insurance ,
FM Global, Johnston, RI, Insurance ,
Genworth Financial , Richmond, VA, Insurance ,
Guardian Life Insurance Company of America, New York, NY, Insurance ,
Hanover Insurance Group Inc., Worcester, MA, Insurance ,
Hartford Financial , Hartford, CT, Insurance ,
HCC Specialty Insurance, Houston, TX, Insurance ,
Humana, Louisville, KY, Insurance ,
Kemper , Chicago, IL, Insurance ,
Liberty Mutual , Boston, MA, Insurance ,
Lincoln Financial , Radnor, PA, Insurance ,
Markel , Glen Allen, VA, Insurance ,
Marsh & McLennan , New York, NY, Insurance ,
Massachusetts Mutual  , Springfield, MA, Insurance ,
Medical Mutual of Ohio, Cleveland, OH, Insurance ,
Mercury General , Los Angeles, CA, Insurance ,
MetLife , New York, NY, Insurance ,
Mutual of America Life Insurance , New York, NY, Insurance ,
Mutual of Omaha Insurance, Omaha, NE, Insurance ,
National Life Group, Montpelier, VT, Insurance ,
Nationwide Mutual Insurance , Columbus, OH, Insurance ,
New York Life Insurance , New York, NY, Insurance ,
Northwestern Mutual , Milwaukee, WI, Insurance ,
Old Republic International , Chicago, IL, Insurance ,
Pacific Life Insurance , Newport Beach, CA, Insurance ,
Principal Financial , Des Moines, IA, Insurance ,
Progressive , Cleveland, OH, Insurance ,
Protective Life , Birmingham, AL, Insurance ,
Prudential Financial , Newark, NJ, Insurance ,
Reinsurance Group of America , Chesterfield, MO, Insurance ,
